open,close,high,low,value,volume,begin,end,end_time,time_diff
1.2056,1.2056,1.2056,1.2055,19599368.54,16257369,2023-01-03 11:00:00,2023-01-03 11:59:59,11:59:59,0 days 00:00:01
1.2058,1.2057,1.2058,1.2057,12458970.710000003,10332983,2023-01-04 11:00:00,2023-01-04 11:59:59,11:59:59,0 days 00:00:01
1.2063,1.2063,1.2064,1.2063,17364855.489999995,14394531,2023-01-05 11:00:00,2023-01-05 11:59:59,11:59:59,0 days 00:00:01
1.2065,1.2065,1.2066,1.2065,10194560.620000003,8449206,2023-01-06 11:00:00,2023-01-06 11:59:59,11:59:59,0 days 00:00:01
1.207,1.207,1.207,1.2069,14219381.099999998,11781317,2023-01-09 11:00:00,2023-01-09 11:59:59,11:59:59,0 days 00:00:01
1.2071,1.2072,1.2072,1.207,17132224.17,14192823,2023-01-10 11:00:00,2023-01-10 11:59:59,11:59:59,0 days 00:00:01
1.2074,1.2073,1.2074,1.2072,26511907.230000004,21959963,2023-01-11 11:00:00,2023-01-11 11:59:59,11:59:59,0 days 00:00:01
1.2079,1.2079,1.208,1.2079,42756271.64,35395295,2023-01-12 11:00:00,2023-01-12 11:59:59,11:59:59,0 days 00:00:01
1.2081,1.2079,1.2081,1.2079,308547844.75999993,255436930,2023-01-13 11:00:00,2023-01-13 11:59:59,11:59:59,0 days 00:00:01
1.2082,1.2083,1.2083,1.2081,75678634.31000012,62637766,2023-01-16 11:00:00,2023-01-16 11:59:59,11:59:59,0 days 00:00:01
1.2084,1.2084,1.2084,1.2083,27146564.4,22465605,2023-01-17 11:00:00,2023-01-17 11:59:59,11:59:59,0 days 00:00:01
1.2086,1.2086,1.2087,1.2086,121493933.85999998,100517542,2023-01-18 11:00:00,2023-01-18 11:59:59,11:59:59,0 days 00:00:01
1.2094,1.2094,1.2094,1.2093,78849937.82999998,65201230,2023-01-19 11:00:00,2023-01-19 11:59:59,11:59:59,0 days 00:00:01
1.2096,1.2095,1.2096,1.2095,17742599.56,14668655,2023-01-20 11:00:00,2023-01-20 11:59:59,11:59:59,0 days 00:00:01
1.2097,1.2097,1.2098,1.2097,22331071.090000004,18459435,2023-01-23 11:00:00,2023-01-23 11:59:59,11:59:59,0 days 00:00:01
1.2099,1.21,1.21,1.2099,54736618.66000026,45237852,2023-01-24 11:00:00,2023-01-24 11:59:59,11:59:59,0 days 00:00:01
